scan_id,scan_time,format,name,priority,section,size,vendor,install_time,version,architecture,multiarch,source,description,location,triaged,cpe,msu_name,checksum,item_id
0,2023/04/12 03:31:38,win,AnyDesk,,,0,philandro Software GmbH,,ad 7.0.14,i686,,,,"""C:\Program Files (x86)\AnyDesk""",0,,,c5615bbee74b4972206a9bd6f7156e9827a25e3c,00fbe4f0ffc36881f9c95e51bb9823a6121d02b1
0,2023/04/12 03:31:38,win,Microsoft Report Viewer 2015 Runtime,,,0,Microsoft Corporation,20200117,12.0.2402.15,i686,,,,,0,,,78fef2acfc0a3c8bbc12ef4ecc44e5508045c9a1,0c0c197ab589434b2917c1544b46a966901eb97f
0,2023/04/12 03:31:38,win,Microsoft Edge WebView2 Runtime,,,0,Microsoft Corporation,20230410,112.0.1722.34,i686,,,,C:\Program Files (x86)\Microsoft\EdgeWebView\Application,0,,,86c8ad8b87160dd9d633d6af5a0d3ef5bcc1aeff,12abb6bfea83094b0facd36434e7aab40f5c58be
0,2023/04/12 03:31:38,win,NVIDIA Display Container LS,,,0,NVIDIA Corporation,20200211,1.11,x86_64,,,,C:\Program Files\NVIDIA Corporation\Installer2\NVDisplayContainerLS.{15359265-D514-4D33-BF80-076794CF652B},0,,,63b89e69f29a2e09691db51a2327b698e9316b70,14c5ac606f9fa1309424046cf6dc776ceed42d1f
0,2023/04/12 03:31:38,win,Microsoft OneDrive,,,0,Microsoft Corporation,,23.061.0319.0003, ,,,,,0,,,a844f9807f86608eed3d6f5e68ccbd6b7915b55c,16247c06405bb96b495dcb635bd9f147961a8c91
0,2023/04/12 03:31:38,win,Microsoft Update Health Tools,,,0,Microsoft Corporation,20230222,5.69.0.0,x86_64,,,,,0,,,bb5bc2dc15e9ba5be2f49b6149affae464a84c91,16930fd77564a442beb7404c302d16e0536aa739
0,2023/04/12 03:31:39,win,Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325,,,0,Microsoft Corporation,20190802,14.11.25325,x86_64,,,,,0,,,b314d34cb8c65f482aa4470767e6de089f1eb25a,1d7090e69e654219bbd313bbc37ab14f5f387d05
0,2023/04/12 03:31:39,win,NVIDIA Telemetry Client,,,0,NVIDIA Corporation,20191009,13.6.15.0,x86_64,,,,C:\Program Files\NVIDIA Corporation\NvTelemetry,0,,,d074ada8c0e42c7c4aa468aa6806f4d61e0bdf89,2480afee5dc3082fc2de8fa0a2d90db7b981c957
0,2023/04/12 03:31:39,win,NVIDIA Display Watchdog Plugin,,,0,NVIDIA Corporation,20200211,1.11,x86_64,,,,C:\Program Files\NVIDIA Corporation\Installer2\NVDisplayPluginWatchdog.{FF9D7BDC-0CB6-448F-B052-7DC86A9858EC},0,,,dca76a9dc6f560cfef13e79658d432025cf04348,28554510ddd4957b2059e7bc2a06354d9a8eaa60
0,2023/04/12 03:31:39,win,WebAdvisor by McAfee,,,0,"McAfee, LLC",,4.1.1.810,i686,,,,C:\Program Files\McAfee\WebAdvisor,0,,,fbc444b64c41e6d06c74210fc2819ef18695717a,29a19270a77c194e3186a3a60410feac810402cc
