scan_id,scan_time,format,name,priority,section,size,vendor,install_time,version,architecture,multiarch,source,description,location,triaged,cpe,msu_name,checksum,item_id
0,2023/04/12 04:04:18,win,Microsoft Edge WebView2 Runtime,,,0,Microsoft Corporation,20230410,112.0.1722.34,i686,,,,C:\Program Files (x86)\Microsoft\EdgeWebView\Application,0,,,86c8ad8b87160dd9d633d6af5a0d3ef5bcc1aeff,12abb6bfea83094b0facd36434e7aab40f5c58be
0,2023/04/12 04:04:18,win,Microsoft Update Health Tools,,,0,Microsoft Corporation,20230309,5.69.0.0,x86_64,,,,,0,,,cad52645f53cb6f8aed4f6621cadbab2b77cd063,16930fd77564a442beb7404c302d16e0536aa739
0,2023/04/12 04:04:19,win,Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325,,,0,Microsoft Corporation,20230309,14.11.25325,x86_64,,,,,0,,,b12830f846a4d5f99e6c06953f80eb13924b1ee6,1d7090e69e654219bbd313bbc37ab14f5f387d05
0,2023/04/12 04:04:19,win,Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325,,,0,Microsoft Corporation,,14.11.25325.0,i686,,,,,0,,,abd1499cd0e56bcb38291b414e530e07100ccc8b,2b753fb9a67082d26623d436faac5d587bcc21b0
0,2023/04/12 04:04:19,win,Google Chrome,,,0,Google LLC,20230406,112.0.5615.49,i686,,,,C:\Program Files\Google\Chrome\Application,0,,,a94cdff45d606fb266fca5f496517c049049bbf1,2c2b1d7e750aaef9310f31d053de8dd967591d34
0,2023/04/12 04:04:19,win,Wazuh Agent,,,0,"Wazuh, Inc.",20230320,4.3.10,i686,,,,,0,,,99e7fe9bbb7cd0e1166fef05a9310a43f3dd0e49,346c7a0f5278b7d581cf90c7eac127d2231e59f6
0,2023/04/12 04:04:19,win,Intel® PROSet/Wireless WiFi Software,,,0,Intel Corporation,20230309,20.80.0.1991,x86_64,,,,C:\Program Files\Intel,0,,,30786ce5585cf62d3c6e1bfc3ac3d3641b8316d2,4ab2f2e84c241a7ea90c5235a397f22805bb6eea
0,2023/04/12 04:04:19,win,Teams Machine-Wide Installer,,,0,Microsoft Corporation,20230320,1.5.0.30767,i686,,,,,0,,,d586cb666b202ffe5088113454c1ff218d7ab47c,588e2279f94986578f5a74348d736e6bd01e37a4
0,2023/04/12 04:04:19,win,Windows 11 Installation Assistant,,,0,Microsoft Corporation,,1.4.19041.2063,i686,,,,,0,,,4eae61176d42ee949e0c7f1185e07f719b0f2abc,598d711dea47e37891a81724d83ccdc7289a32bd
0,2023/04/12 04:04:19,win,ATK Package,,,0,ASUS,20230308,1.0.0050,i686,,,,C:\Program Files (x86)\ASUS\ATK Package\,0,,,268ab84b24417392b5f8aa5f1ad6148f28067526,6999bb9080eedcaa142a656592ff3d054a3fea02
0,2023/04/12 04:04:19,win,Office 16 Click-to-Run Licensing Component,,,0,Microsoft Corporation,20230331,16.0.16227.20204,x86_64,,,,,0,,,0593019bef413bd097bb62309fe6282529d9a365,6f5172e87ba45bb2b400ab707734d24d7a9001a1
0,2023/04/12 04:04:20,win,Microsoft 365 Apps for enterprise - en-us,,,0,Microsoft Corporation,,16.0.16227.20258,x86_64,,,,C:\Program Files\Microsoft Office,0,,,99e9dd81f9a33adf2e6e3c73f183ebffea620680,93251372dccbee49129572fa78144cd0302adc32
0,2023/04/12 04:04:20,win,DriverPack,,,0,DriverPack,,17.11,i686,,,,,0,,,42eb94d5ed15d1331dfeceeaf8c0248fd54ca9ed,9a2e81bb293e0f28c5c0b6ecf382eb95e177c5ad
0,2023/04/12 04:04:20,win,BizPhone for Windows,,,0,B3Networks Pte Ltd,20230329,1.0.1,i686,,,,C:\Program Files (x86)\BizPhone for Windows\,0,,,4618aafb2e30bfe232f3c9c19313a0bd5371c946,9e109c7a656c80403d8bf55a1794a771fda06562
0,2023/04/12 04:04:20,win,Flock,,,0,Flock FZ LLC,,2.2.513, ,,,,,0,,,1f62d05ca386b824a17e495da6dfc5d949c12cd0,a424a53a3b54ac17172ee6963c24352bf51610b2
0,2023/04/12 04:04:20,win,Microsoft Edge Update,,,0,,,1.3.173.55,i686,,,,,0,,,8c5d332b49cd4930959ab198d2b19c01c0332fe3,a608d1efe707eb3e51bbbf671e096e1cd529c055
0,2023/04/12 04:04:20,win,AnyDesk,,,0,AnyDesk Software GmbH,,ad 7.1.11,i686,,,,"""C:\Program Files (x86)\AnyDesk""",0,,,7060e0ad0c24f1ff0fe7c3f94827f0f95698b4c7,a681db3cf84b06f2dcabfaaeec831253241037e1
0,2023/04/12 04:04:20,win,Microsoft OneDrive,,,0,Microsoft Corporation,,23.071.0402.0001,x86_64,,,,,0,,,89646273a6d69c93d4f19da14a2ddf3e3ed62acf,af8e720a3b3069535c92ac6042ce2e0826d910f6
0,2023/04/12 04:04:20,win,Intel® PROSet/Wireless Software,,,0,Intel Corporation,,20.80.0.0u,i686,,,,,0,,,d885174466d607e32d8eaba45a641d24bb4243d2,b0a3493fbd9d39884e81438947c928c55218819f
0,2023/04/12 04:04:20,win,Windows PC Health Check,,,0,Microsoft Corporation,20230309,3.7.2204.15001,x86_64,,,,,0,,,e24276adc626496b9a7b8b3deee27d45f2a882e6,b947ad2336a49ae52a9b858d4fdba9265666c934
0,2023/04/12 04:04:21,win,Microsoft Edge,,,0,Microsoft Corporation,20230412,112.0.1722.39,i686,,,,C:\Program Files (x86)\Microsoft\Edge\Application,0,,,bdb3b3f086b9b756e144fa8664ca9780e5fd1bac,c60a3f3bf3b104fb804c6737d33a34f8498a1a9c
0,2023/04/12 04:04:21,win,Google Credential Provider for Windows,,,0,Google LLC,20230309,68.127.32824,x86_64,,,,,0,,,17ce64f24d5d33cbf485426e26baeec1c247ad10,db4558bf479b276aaf17b31b16a30ce54ec8db8e
0,2023/04/12 04:04:21,win,Office 16 Click-to-Run Extensibility Component,,,0,Microsoft Corporation,20230320,16.0.16130.20218,x86_64,,,,,0,,,50e24d397eeddddb3ff5091f0c0aa4d519d11387,e63c250dec17c4fae56e2e5abded3bbf619f57c6
0,2023/04/12 04:04:21,win,Windows PC Health Check,,,0,Microsoft Corporation,20230308,3.6.2204.08001,x86_64,,,,,0,,,148cc68daed24e3f37af14f36094533cf7c0f2b3,e8e0c1b1be44dfc85317a2f9470b3cc90652147f
0,2023/04/12 04:04:21,win,Microsoft Teams,,,0,Microsoft Corporation,20230331,1.6.00.6754, ,,,,C:\Users\cahya.maharani_mekar\AppData\Local\Microsoft\Teams,0,,,ce009297227ccd1295329e47bf2522f7555fc4df,f351814d5284b811984a91fdbe5a7749200c0cf3
0,2023/04/12 04:04:21,win,Zoom,,,0,"Zoom Video Communications, Inc.",,5.14.0 (13888), ,,,,C:\Users\cahya.maharani_mekar\AppData\Roaming\Zoom\bin,0,,,df449edd8dd60fe29c1d7e2ddd8627cb40f63631,ff6cd02ea5b28bfed3d37a8c65726952a5fe4bcc
0,2023/04/12 04:04:21,win,Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325,,,0,Microsoft Corporation,20230309,14.11.25325,x86_64,,,,,0,,,3a778313fa3edba940c8f8e397d1aebb5a32ba3b,ff8d41a1a1334a47d6df363bf15152d5bb921020
