id_check,key,value
26000,cis,1.1.1
26000,cis_csc,5.2
26001,cis,1.1.2
26001,cis_csc,5.2
26002,cis,1.1.3
26002,cis_csc,5.2
26003,cis,1.1.4
26003,cis_csc,5.2
26004,cis,1.1.5
26004,cis_csc,5.2
26005,cis,1.1.6
26005,cis_csc,5.2
26006,cis,1.2.1
26006,cis_csc,4.10
26007,cis,1.2.2
26007,cis_csc,4.10
26008,cis,1.2.3
26008,cis_csc,4.10
26009,cis,2.3.1.1
26009,cis_csc,4.7
26010,cis,2.3.1.2
26010,pci_dss,8.1
26010,tsc,CC6.1
26011,cis,2.3.1.3
26011,cis_csc,4.7
26012,cis,2.3.1.4
26012,cis_csc,5.2
26012,pci_dss,8.2
26012,tsc,CC6.1
26013,cis,2.3.1.5
26013,cis_csc,4.7
26014,cis,2.3.1.6
26014,cis_csc,4.7
26015,cis,2.3.2.1
26015,cis_csc,8.5
26015,pci_dss,2.2.3
26015,nist_800_53,CM.1
26015,gpg_13,4.3
26015,gdpr_IV,35.7.d
26015,hipaa,164.312.b
26015,tsc,CC5.2
26016,cis,2.3.2.2
26016,cis_csc,8.3
26016,pci_dss,10.7
26017,cis,2.3.4.1
26017,pci_dss,7.2
26017,tsc,CC6.4
26018,cis,2.3.4.2
26018,pci_dss,"2.2.4,2.2.5"
26018,nist_800_53,CM.1
26018,tsc,"CC6.3,CC5.2"
26019,cis,2.3.6.1
26019,cis_csc,3.10
26019,pci_dss,4.1
26019,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26019,nist_800_53,SC.8
26019,tsc,"CC6.1,CC6.7,CC7.2"
26020,cis,2.3.6.2
26020,cis_csc,3.10
26020,pci_dss,4.1
26020,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26020,nist_800_53,SC.8
26020,tsc,"CC6.1,CC6.7,CC7.2"
26021,cis,2.3.6.3
26021,pci_dss,4.1
26021,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26021,nist_800_53,SC.8
26021,tsc,"CC6.1,CC6.7,CC7.2"
26022,cis,2.3.6.4
26022,pci_dss,8.2.4
26022,tsc,CC6.1
26023,cis,2.3.6.5
26024,cis,2.3.6.6
26024,pci_dss,4.1
26024,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26024,nist_800_53,SC.8
26024,tsc,"CC6.1,CC6.7,CC7.2"
26025,cis,2.3.7.1
26026,cis,2.3.7.2
26026,pci_dss,2.2.3
26026,nist_800_53,CM.1
26026,gpg_13,4.3
26026,gdpr_IV,35.7.d
26026,hipaa,164.312.b
26026,tsc,CC5.2
26027,cis,2.3.7.3
26027,cis_csc,4.10
26028,cis,2.3.7.4
26028,cis_csc,4.3
26028,pci_dss,8.1.8
26028,tsc,CC6.1
26029,cis,2.3.7.5
26030,cis,2.3.7.6
26031,cis,2.3.7.7
26031,pci_dss,8.2
26031,tsc,CC6.1
26032,cis,2.3.7.8
26032,pci_dss,8.2.4
26032,tsc,CC6.1
26033,cis,2.3.7.9
26033,cis_csc,4.3
26033,pci_dss,8.6
26033,tsc,CC6.1
26034,cis,2.3.8.1
26034,pci_dss,4.1
26034,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26034,nist_800_53,SC.8
26034,tsc,"CC6.1,CC6.7,CC7.2"
26035,cis,2.3.8.2
26035,pci_dss,4.1
26035,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26035,nist_800_53,SC.8
26035,tsc,"CC6.1,CC6.7,CC7.2"
26036,cis,2.3.8.3
26036,cis_csc,3.10
26036,pci_dss,4.1
26036,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26036,nist_800_53,SC.8
26036,tsc,"CC6.1,CC6.7,CC7.2"
26037,cis,2.3.9.1
26037,cis_csc,4.3
26037,pci_dss,8.1.8
26037,tsc,CC6.1
26038,cis,2.3.9.2
26038,pci_dss,4.1
26038,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26038,nist_800_53,SC.8
26038,tsc,"CC6.1,CC6.7,CC7.2"
26039,cis,2.3.9.3
26039,pci_dss,4.1
26039,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26039,nist_800_53,SC.8
26039,tsc,"CC6.1,CC6.7,CC7.2"
26040,cis,2.3.9.4
26040,cis_csc,5.6
26040,pci_dss,7.1
26040,tsc,CC6.4
26041,cis,2.3.9.5
26041,pci_dss,7.1
26041,tsc,CC6.4
26042,cis,2.3.10.1
26043,cis,2.3.10.2
26043,pci_dss,7.1
26043,tsc,CC6.4
26044,cis,2.3.10.3
26044,pci_dss,7.1
26044,tsc,CC6.4
26045,cis,2.3.10.4
26045,pci_dss,3.1
26046,cis,2.3.10.5
26046,pci_dss,7.1
26046,tsc,CC6.4
26047,cis,2.3.10.6
26047,pci_dss,7.1
26047,tsc,CC6.4
26048,cis,2.3.10.7
26048,pci_dss,7.1
26048,tsc,CC6.4
26049,cis,2.3.10.8
26049,pci_dss,7.1
26049,tsc,CC6.4
26050,cis,2.3.10.9
26050,pci_dss,7.1
26050,tsc,CC6.4
26051,cis,2.3.10.10
26051,pci_dss,7.1
26051,tsc,CC6.4
26052,cis,2.3.10.11
26052,cis_csc,3.3
26052,pci_dss,7.1
26052,tsc,CC6.4
26053,cis,2.3.10.12
26053,pci_dss,7.1.3
26053,tsc,CC6.4
26054,cis,2.3.11.1
26054,pci_dss,4.1
26054,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26054,nist_800_53,SC.8
26054,tsc,"CC6.1,CC6.7,CC7.2"
26055,cis,2.3.11.2
26055,pci_dss,4.1
26055,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26055,nist_800_53,SC.8
26055,tsc,"CC6.1,CC6.7,CC7.2"
26056,cis,2.3.11.3
26056,pci_dss,4.1
26056,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26056,nist_800_53,SC.8
26056,tsc,"CC6.1,CC6.7,CC7.2"
26057,cis,2.3.11.4
26057,cis_csc,3.10
26057,pci_dss,4.1
26057,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26057,nist_800_53,SC.8
26057,tsc,"CC6.1,CC6.7,CC7.2"
26058,cis,2.3.11.5
26058,cis_csc,3.11
26058,pci_dss,8.2.1
26058,tsc,CC6.1
26059,cis,2.3.11.6
26059,cis_csc,5.6
26059,pci_dss,7.1
26059,tsc,CC6.4
26060,cis,2.3.11.7
26060,cis_csc,3.10
26060,pci_dss,4.1
26060,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26060,nist_800_53,SC.8
26060,tsc,"CC6.1,CC6.7,CC7.2"
26061,cis,2.3.11.8
26061,cis_csc,3.10
26061,pci_dss,4.1
26061,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26061,nist_800_53,SC.8
26061,tsc,"CC6.1,CC6.7,CC7.2"
26062,cis,2.3.11.9
26062,cis_csc,3.10
26062,pci_dss,4.1
26062,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26062,nist_800_53,SC.8
26062,tsc,"CC6.1,CC6.7,CC7.2"
26063,cis,2.3.11.10
26063,cis_csc,3.10
26063,pci_dss,4.1
26063,hipaa,"164.312.a.2.IV,164.312.e.1,164.312.e.2.I,164.312.e.2.II"
26063,nist_800_53,SC.8
