component,last_attempt,last_completion,n_attempts,n_completions,last_manager_checksum,last_agent_checksum
fim,0,0,0,0,,
fim_file,1681275449,1681275449,3,2,6e0a7b778e36630d4db1985e2e739d0e8eeb04bb,6e0a7b778e36630d4db1985e2e739d0e8eeb04bb
fim_registry,1681275449,1681275449,3,1,3f12a7117426cd8c5da3645f31186f2fbd779300,3f12a7117426cd8c5da3645f31186f2fbd779300
syscollector-processes,1681276744,0,2,0,,c5ac9a807f920882e51d0b2e3251cf2c097d50f1
syscollector-packages,1681276744,1681276744,2,1,0c1d9238f8682c6447589a6ed5b3d8eea92d3122,0c1d9238f8682c6447589a6ed5b3d8eea92d3122
syscollector-hotfixes,1681276744,1681276744,2,1,4dccb7ae845f0149341e26f6190123cf9054d877,4dccb7ae845f0149341e26f6190123cf9054d877
syscollector-ports,1681276744,0,2,0,,33c9503fa2c62513aa26fa64e581dd6bf7259e78
syscollector-netproto,1681276743,1681276743,2,1,7753caeb47b4c51b306eca5738f68885f7fa7332,7753caeb47b4c51b306eca5738f68885f7fa7332
syscollector-netaddress,1681276743,1681276743,2,1,6645a6baecd30d876a01ccb8b18c6b8c5c6ad6e2,6645a6baecd30d876a01ccb8b18c6b8c5c6ad6e2
syscollector-netinfo,1681276743,0,2,0,,f1e2453a5dbeed77bd6c30e3a19ae9ca2428f43a
syscollector-hwinfo,1681276743,0,2,0,,07407c7166f420ec49bce669b7d4718d97feb6c1
syscollector-osinfo,1681276743,0,2,0,,bea9bc03f9bdb18aa6465c5ce03de77619c58901
