full_path,file,type,date,changes,arch,value_name,value_type,size,perm,uid,gid,md5,sha1,uname,gname,mtime,inode,sha256,attributes,symbolic_path,checksum
/bin,/bin,file,1681268940,1,,,,7,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1666198031,516105,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,f4c1086db6dddf1488d153642508318ac22b60db
/etc/.pwd.lock,/etc/.pwd.lock,file,1681268940,1,,,,0,rw-------,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1666198039,522072,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,90952dd8cfaeb259254103c28b34e2052884408d
/etc/X11/Xsession.d/90gpg-agent,/etc/X11/Xsession.d/90gpg-agent,file,1681268940,1,,,,880,rw-r--r--,0,0,fbb9ce5e8e4ba5727090f0aa51b61a82,f39fc5789aa2c25ad33600e0b59ed7cfccd8dba2,root,root,1609956635,519526,e31d9e652f5d4e244da166761d6ca3743c1c04818788ae8c097b5ad60d09f6d2,,,77b8f55ef9eaffdbfcbd960a6f51e3ea1722b3cd
/etc/adduser.conf,/etc/adduser.conf,file,1681268940,1,,,,3028,rw-r--r--,0,0,a9485aa815f8459ceaeb4e90f395f119,38da238ef657f9a107a6cf222693888c50bbf11d,root,root,1666198040,516111,cbd8ed49dd084c853d90afc22643b1a55c6f7b7a959644861c589fa8d7f26b0b,,,934e1b98da0033a380d38c9137af09567c9a4633
/etc/alternatives/README,/etc/alternatives/README,file,1681268940,1,,,,100,rw-r--r--,0,0,7be88b21f7e386c8d5a8790c2461c92b,de50c1abd6fca390d6ba22505f9aded89c150fc8,root,root,1584943974,516113,a44afdb50eacfc09e45f6dac1e18ae231c179feec633c106e1060bae8ae11df1,,,1f9bcec46323a2e27cd347f7318977ff32c18ac3
/etc/alternatives/awk,/etc/alternatives/awk,file,1681268940,1,,,,13,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1666198170,516114,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,cdfd8d650950e7f11449ce1dd538bacc5153d162
/etc/alternatives/lzcat,/etc/alternatives/lzcat,file,1681268940,1,,,,14,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1668614886,519528,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,e6b3a4ad928d8419eed8c65f3db3d4b9bafd025b
/etc/alternatives/lzcmp,/etc/alternatives/lzcmp,file,1681268940,1,,,,14,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1668614886,519529,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,225cbd153e0b872f1796068554608360421e19a5
/etc/alternatives/lzdiff,/etc/alternatives/lzdiff,file,1681268940,1,,,,15,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1668614886,519530,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,b65adfcd3650732ffb7d1128f6c1244dd27f76d0
/etc/alternatives/lzegrep,/etc/alternatives/lzegrep,file,1681268940,1,,,,16,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1668614886,519531,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,b59a61ea254ef25452d2132fc04b9050c0e793fd
/etc/alternatives/lzfgrep,/etc/alternatives/lzfgrep,file,1681268940,1,,,,16,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1668614886,519532,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,6d0e0e001b2bef2727bdcff8b4068066c7649eaf
/etc/alternatives/lzgrep,/etc/alternatives/lzgrep,file,1681268940,1,,,,15,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1668614886,519533,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,b08c4e6b0951e8ed3fc146fc917e627a40181b2f
/etc/alternatives/lzless,/etc/alternatives/lzless,file,1681268940,1,,,,15,rwxrwxrwx,0,0,d41d8cd98f00b204e9800998ecf8427e,da39a3ee5e6b4b0d3255bfef95601890afd80709,root,root,1668614886,519534,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,816833528dcaaf3c322c393598583c1aa4e83a4f
