scan_id,scan_time,hotfix,checksum
0,2023/04/12 05:03:23,KB2468871,8f99821b9e79bc2258cb56cd14cfcaf9bbeda8e5
0,2023/04/12 05:03:23,KB2478063,8511235ae3ab3b642d8ba429599092634fdde3a8
0,2023/04/12 05:03:23,KB2533523,b8c4cb9a2aeb6a64269e88f6116765420a65cd80
0,2023/04/12 05:03:23,KB2544514,8e468309f00c0f31b8a0f12a6a79d2658652e9e9
0,2023/04/12 05:03:23,KB2600211,cb13c01ba11045aabbb074fc3e61b0a3b2d88dd4
0,2023/04/12 05:03:23,KB2600217,8253af775746f8545784d27edb852281c9a06955
0,2023/04/12 05:03:24,KB5001716,b357a54b264fb6392d06fa7eb1b2e4ead7759f55
0,2023/04/12 05:03:24,KB5012170,d9e49825d14b5bbbf4b4aa4c499ae7f8121389a3
0,2023/04/12 05:03:24,KB5022497,8d8360100a60d1430dd33259f1f62cc1b168f07f
0,2023/04/12 05:03:24,KB5023706,7b876f712f8f4187fa6c1198fc6551f08226fbd3
0,2023/04/12 05:03:24,KB5023778,f1dca6b6a6152c7f915cc300ba81967ed86a247e
0,2023/04/12 05:03:24,KB5023796,44e1aa0626cdfb7a3dc80f78d3fc208a41c7e141
0,2023/04/12 05:03:24,KB5025239,605bb7b0f02ac2e72e072e1c9e87b9a48841c6e8
