component,last_attempt,last_completion,n_attempts,n_completions,last_manager_checksum,last_agent_checksum
fim,0,0,0,0,,
fim_file,1681279224,1681279224,11,10,263113b2c96f77304e3be6441924fa7f20c5cc14,263113b2c96f77304e3be6441924fa7f20c5cc14
fim_registry,1681279224,1681279224,11,9,22d7315fbf3259c824dffad96d989ccaa85113ae,22d7315fbf3259c824dffad96d989ccaa85113ae
syscollector-processes,1681276283,0,2,0,,6320c4eee2cba81b347bea1a60625a0de7fd6816
syscollector-packages,1681276283,1681276283,2,1,674d54101d1d4b86a8c349c935fe66f7bf3ba220,674d54101d1d4b86a8c349c935fe66f7bf3ba220
syscollector-hotfixes,1681276283,1681276283,2,1,26e825fac8dd7ee9e85583d3c472b27763531b30,26e825fac8dd7ee9e85583d3c472b27763531b30
syscollector-ports,1681276283,0,2,0,,3f8f0cde779da1edc9925d8366685f3b6bdff4ff
syscollector-netproto,1681276283,1681276283,2,1,db5fd89c512b6481cdfac796f5e8562d27979e37,db5fd89c512b6481cdfac796f5e8562d27979e37
syscollector-netaddress,1681276283,1681276283,2,1,fb5ecc3d8c403a469e56d97dbcb00d0c7689062f,fb5ecc3d8c403a469e56d97dbcb00d0c7689062f
syscollector-netinfo,1681276282,0,2,0,,d31217cd9aa5272807df96e62780ae218c3683c8
syscollector-hwinfo,1681276282,0,2,0,,3f2f157b5908ecc0f437147b0c89e089ebe66681
syscollector-osinfo,1681276282,0,2,0,,77713961a34808b3e27e4e4d86b157beb3fab569
