scan_id,scan_time,protocol,local_ip,local_port,remote_ip,remote_port,tx_queue,rx_queue,inode,state,PID,process,checksum,item_id
0,2023/04/12 04:21:49,tcp,0.0.0.0,49667,0.0.0.0,0,0,0,0,listening,2768,svchost.exe,b3d3ff36d87133d33d785c641bcb4d991a325f3c,00c24610f9dfd4c9a59511c25aa6a36b5b55f375
0,2023/04/12 04:21:49,udp,127.0.0.1,53631,,0,0,0,0, ,10016,svchost.exe,e96786708859ae1f0c2265597a0054847aff0bf1,04f7d078095c69902e2639538635c367f5f10a76
0,2023/04/12 04:21:49,tcp6,::,135,::,0,0,0,0,listening,1264,svchost.exe,21449e7a47e01e2504bf37c3df5a4399ee5c69fb,094b9de99b561a8a9c435f641787b26db0fa5f98
0,2023/04/12 04:21:49,tcp,0.0.0.0,445,0.0.0.0,0,0,0,0,listening,4,System,481fa26d857363b78f4f3f586816a2bca324560a,120ef3368b130c7432e4ee29d7ae502fb6767d10
0,2023/04/12 04:21:49,tcp,0.0.0.0,49666,0.0.0.0,0,0,0,0,listening,2000,svchost.exe,25314fabd58e41893e6dc0013c76e02e2fe92fc8,13b5ba4bdc3830ce3bcc339c6d425342dfae1697
0,2023/04/12 04:21:50,udp6,::1,1900,,0,0,0,0, ,10016,svchost.exe,8749e141ca63b68d6c8c4ed000dedf077459d77c,1929fb77051b0a4df82fbcbbf425c0dcfdd4e52f
0,2023/04/12 04:21:50,udp,192.168.0.9,138,,0,0,0,0, ,4,System,d33335ff9a6eb503121e7a431a017a003fe6ac37,1940688611f88fec814e413e3c8c3eac94d3a511
0,2023/04/12 04:21:50,udp6,::,5355,,0,0,0,0, ,2176,svchost.exe,c488f504dd8cd18a586afac9b483448037235879,213612efe23c016cfb5385649212cda824f1dfde
0,2023/04/12 04:21:50,tcp,192.168.0.9,139,0.0.0.0,0,0,0,0,listening,4,System,531ecd0f8b7934515a810d355bfd69c779f394dd,2252290700d8214820459b0590b656b74db275f4
0,2023/04/12 04:21:50,tcp,0.0.0.0,7070,0.0.0.0,0,0,0,0,listening,12284,AnyDesk.exe,8cee2be3e8b383cc33bb42f074d8b290214ae1c0,294c6cecc27365b831e43732860c1faf399a260a
0,2023/04/12 04:21:50,tcp6,::1,49670,::,0,0,0,0,listening,5152,jhi_service.exe,ef09f1ac06b5a4a33231cfb765d627c9bf0e5dcf,2a80c746b6be0c0c3d2b41085a7f1515c3da7509
0,2023/04/12 04:21:50,tcp,0.0.0.0,49668,0.0.0.0,0,0,0,0,listening,4016,spoolsv.exe,e623146dbd5a126e35612520d234e1f5c02265cd,2c924802fe5c2d1fba335438ef81ba293d6c5e12
0,2023/04/12 04:21:50,udp6,fe80::b129:7734:0d5f:9a26,53628,,0,0,0,0, ,10016,svchost.exe,7258d1b7fdd8d204cc257a9ad87ac235e9729931,2f37e0d0eff6ca19cc63173c8399f68b742989af
0,2023/04/12 04:21:50,udp,127.0.0.1,1900,,0,0,0,0, ,10016,svchost.exe,7307835a9111e5da9ee6eeeefdfccd2ed8a76364,3163f1dc5b5c7abc5d2b3eb0f228d8858603fe4e
0,2023/04/12 04:21:51,tcp,0.0.0.0,57621,0.0.0.0,0,0,0,0,listening,8528,Spotify.exe,8ecccfd07879d531ebb132d15702842de82c248b,369dc27f31b56b3b73ac91e2e215eb5cd2fb0095
0,2023/04/12 04:21:51,udp,192.168.0.9,137,,0,0,0,0, ,4,System,8e2922f658dbe89d3e2e9544ff4cdb0fefbca7af,3b1a2c0e1daf9dc11081c60514f0656b5b1d8131
0,2023/04/12 04:21:51,udp,0.0.0.0,123,,0,0,0,0, ,17708,svchost.exe,3d780adfed6a62a5a9a03159365c49b8183a6191,3e4c00e16eb3e2a78ad48cb09dcde7a8c0d6b083
0,2023/04/12 04:21:51,tcp,0.0.0.0,59607,0.0.0.0,0,0,0,0,listening,8528,Spotify.exe,bdbd9cd3842adf40229b6437d9ef23d7dc108dc3,44acd358a0a036a683f159be0157b40d363364a9
0,2023/04/12 04:21:51,tcp6,::,49671,::,0,0,0,0,listening,784,services.exe,8735938e319d6e39c2aafaacaadb084cfebc2457,4f9d7beda07a3f9b59c2ffad967ecbdb06f290ac
0,2023/04/12 04:21:51,tcp,0.0.0.0,49665,0.0.0.0,0,0,0,0,listening,364,wininit.exe,1ce63d127a2fac16a56484eeeda87a0a08be855a,5062fd9d3e87cbe747bd2510b66b127ddf2c8bac
0,2023/04/12 04:21:51,tcp6,::,49665,::,0,0,0,0,listening,364,wininit.exe,a94e583186b44db62afb7135794ae1a7784be008,50f1542c0b047f03949edf289ec9c8377c2b4ad2
0,2023/04/12 04:21:51,udp,192.168.0.9,1900,,0,0,0,0, ,10016,svchost.exe,07e09f7641459c3486a5d48bac2b6934a64b23a5,6342a001acaa1b61ba23fc50670c16aeb6010191
0,2023/04/12 04:21:51,tcp6,::,7680,::,0,0,0,0,listening,10312,svchost.exe,dbcd841943df7aaeff29275595f954b2e53f3939,6d994dd9fb0f83c007fdf80196a2a0780b5967b4
0,2023/04/12 04:21:52,udp6,::,123,,0,0,0,0, ,17708,svchost.exe,6603689c27011562dc73aee21ee4c11e544ab8f1,6e540fce167a27ae5c3ab48a411dbfcf48b55a7a
0,2023/04/12 04:21:52,udp6,::1,53629,,0,0,0,0, ,10016,svchost.exe,d39ef6ef9f9e734dfeeee0c6b572e5584db72c35,6eb4c43c78c5a783eeceed62ae833d27195fea86
0,2023/04/12 04:21:52,tcp6,::,49664,::,0,0,0,0,listening,996,lsass.exe,d0cfac828a495ebbbb168375b61b93553b049ef1,780444cdd6b94639213b829135e8ab7bcf999161
0,2023/04/12 04:21:52,tcp6,::,49666,::,0,0,0,0,listening,2000,svchost.exe,2ebdbfc9746956190aef1c30578b5eb0ef21e5af,796c943d7b9e29e42293e5431fcf6356a43b657e
0,2023/04/12 04:21:52,tcp,0.0.0.0,49664,0.0.0.0,0,0,0,0,listening,996,lsass.exe,47cf23a9ad2c39688b77839acaecb08737ca72ca,7baa138dcdadcced88c737cb9e9e4076f5ac2f23
0,2023/04/12 04:21:52,tcp,0.0.0.0,49671,0.0.0.0,0,0,0,0,listening,784,services.exe,211b118caaad617122e20c18632257a9f1a2519e,813f0fc561de5dc3aef8be4de1c87e93e1365253
0,2023/04/12 04:21:52,udp,0.0.0.0,50001,,0,0,0,0, ,12284,AnyDesk.exe,1d6c60f030694142d8ed8b3ab2977525fb41e77a,83055bbc15f6256afb27a98db5908a6360e1916b
0,2023/04/12 04:21:52,udp,0.0.0.0,57621,,0,0,0,0, ,8528,Spotify.exe,90519f6611907ef2b878c8c9b0a15a23899c7332,91b70cd276bba80c996770c2943cdd6f6326ec25
0,2023/04/12 04:21:52,udp6,fe80::b129:7734:0d5f:9a26,1900,,0,0,0,0, ,10016,svchost.exe,5accc68c35a24a26d955955e4169d469fbc3eef5,970741531b43cfccf2ce026cee2e2e81b1eacd4d
0,2023/04/12 04:21:52,tcp,0.0.0.0,5040,0.0.0.0,0,0,0,0,listening,6960,svchost.exe,299fac0fff71b22e34b1edd1b845a21e24037f44,b032c5b23c2f83786e4eb05106df3df23add9967
0,2023/04/12 04:21:53,udp,0.0.0.0,63628,,0,0,0,0, ,1864,msteams.exe,25d94113e0787b9cd9f49f730a11b19780914991,b0f26393e6375a7d6d24e325fbf4f3cf4a9234bb
0,2023/04/12 04:21:53,udp,127.0.0.1,49664,,0,0,0,0, ,4672,svchost.exe,b16409d069b1f82353fbb6e023d9b953f8d91b2a,b384495ff99e639d955f5f943473ee367515d4e2
0,2023/04/12 04:21:53,udp,0.0.0.0,5353,,0,0,0,0, ,940,chrome.exe,d0fb1d0be6c885b2bd0ee1477d05dc688ab8d83a,b70a80e0df152a12d79120be4f423979596dbaab
0,2023/04/12 04:21:53,tcp6,::,49667,::,0,0,0,0,listening,2768,svchost.exe,bf589dd282e72dd2c43095e64dff9372c61a534b,b82989e87ae17e9d01b93089a6b66fa3fed27217
0,2023/04/12 04:21:53,udp,0.0.0.0,62224,,0,0,0,0, ,8528,Spotify.exe,d802d58fb57c6176efd22a3ca04ca4adcc13774e,b886768df434752cbac5f30f478966aa16580311
0,2023/04/12 04:21:53,udp,0.0.0.0,5355,,0,0,0,0, ,2176,svchost.exe,774e41085954ce01551cc760810284cd454ebeb9,b8ff43e517b056a49ba615dc7ae93f911b4df34f
0,2023/04/12 04:21:53,tcp,0.0.0.0,135,0.0.0.0,0,0,0,0,listening,1264,svchost.exe,bc555f8a2b6a8b430af8756797e3f2421b697cc3,bbbbf17f188ec1927cd6da2bcdd41506ae3f829e
0,2023/04/12 04:21:53,udp6,::,63628,,0,0,0,0, ,1864,msteams.exe,e46fbc8e570d251b9d7e47954931d8e248ae0c8e,c0e4bb1e1b486d2db570248d96c82679361bbf2c
0,2023/04/12 04:21:53,udp,0.0.0.0,5050,,0,0,0,0, ,6960,svchost.exe,3d303c9fa18d2f9b09f6239e8f8890b80d950a73,c3fa690a1ece1c651eddea7dfdd75606b5d7479e
0,2023/04/12 04:21:54,tcp6,::,445,::,0,0,0,0,listening,4,System,effa4fd964755442c367e0912108801fb70d253d,cf372ca01c25d7a8fe58b1d9d104771364e3d281
0,2023/04/12 04:21:54,tcp6,::,49668,::,0,0,0,0,listening,4016,spoolsv.exe,3c5e68f41a19e4632479db09a8a132c4928a9d04,d4fbf314eb1655430cd73c226c6284bfa5d0fb95
0,2023/04/12 04:21:54,udp,192.168.0.9,53630,,0,0,0,0, ,10016,svchost.exe,25c8c28fcee629370be034fdaffedf6f5210ec7c,de9fcae5c0e9a36e0061469af1d50db13688afde
0,2023/04/12 04:21:54,tcp,0.0.0.0,7680,0.0.0.0,0,0,0,0,listening,10312,svchost.exe,54f82c49a6321229e4a2ab0decdb312a973b4f2b,eea862380dce539a5e4627efeb21f55a3d9e9c9b
0,2023/04/12 04:21:54,udp,0.0.0.0,1900,,0,0,0,0, ,8528,Spotify.exe,c1ffd2c7e513a46d515f7baa64c5185ab75dbb77,f82c93a6989ff6812de370255a953cb13dc0f900
0,2023/04/12 04:21:54,udp6,::,5353,,0,0,0,0, ,2176,svchost.exe,fc1c43399f1f76e5390a7ee56c0f370ce4b4b700,fed16d76d52690f420eb398e6689eb7299c52b56
0,2023/04/12 05:21:53,udp,0.0.0.0,52058,,0,0,0,0, ,11884,Spotify.exe,55db18a7a68bbb92b9f8a6372de5b94180c47c7d,7b71d21dd2af7af7c66c4282e54e0a20362bd2a6
0,2023/04/12 05:21:53,udp,0.0.0.0,54748,,0,0,0,0, ,11884,Spotify.exe,e625f55f596aa29e5d971262de188263c27cb4a5,9ac257f54b71c71fcbdc91dcdf915869267d786b
0,2023/04/12 05:21:53,udp,0.0.0.0,49855,,0,0,0,0, ,11884,Spotify.exe,46769a8929ae54e4797d22b4f68502f5bbf04b9a,a2440c0d3b7ab8aab7a4a49b9ab3aaf234e94b19
0,2023/04/12 05:21:53,udp,0.0.0.0,56654,,0,0,0,0, ,11884,Spotify.exe,ceb97a9018ba28af134e1f330884ea9276a3321a,30cac79c473d2c6bc636c83c1309d23c75494f88
0,2023/04/12 05:21:54,udp,0.0.0.0,56956,,0,0,0,0, ,2856,chrome.exe,58c23da0cd568f5b7d03e9018eaf03577889d58b,339e519db442ffe3c90d1923e8e9b02e7a7a19e6
0,2023/04/12 05:21:54,udp,0.0.0.0,50786,,0,0,0,0, ,11884,Spotify.exe,3657bc7f5436e40f84a5a24abe928f1061dc08de,098e30e60e7b8c2daebcfa80de83e247611b8f50
0,2023/04/12 05:21:54,udp,0.0.0.0,56322,,0,0,0,0, ,11884,Spotify.exe,96514cd9ce8c07002fd81f0678a34a307444da60,0b60c526a9485ee35038c98d2f13d2ad62bfb2ba
0,2023/04/12 05:21:54,udp,0.0.0.0,56633,,0,0,0,0, ,11884,Spotify.exe,9ba5ac810b87b90b3e7436f2b8d5e3934a39dbb0,431f22ddeb585fb494d7303e35bf875358eeb3b9
0,2023/04/12 05:21:54,udp,0.0.0.0,55891,,0,0,0,0, ,11884,Spotify.exe,b8b4bb61a8f017418b8995fec1ec7dc47f2fcbf6,5e58d2da6f6500aa03d1bf58068b3cbc19ca2649
0,2023/04/12 05:21:54,udp,0.0.0.0,56155,,0,0,0,0, ,11884,Spotify.exe,a0dfdcb9c479f9b933c614d0243576e8de4d5653,82e0dd51b0fcd0df6a5144085aed076c3301d024
0,2023/04/12 05:21:55,udp,0.0.0.0,50539,,0,0,0,0, ,11884,Spotify.exe,5ed7573ad9c444139b626739d9e0a7c67ad59616,2b7c24a65d836818a2dceec2ecf93f6ec67e9776
0,2023/04/12 05:21:55,udp,0.0.0.0,52054,,0,0,0,0, ,11884,Spotify.exe,cb4580ef949e097c25896ec12044fff9fd1572bb,99c45aca6b0178de136bbeb334d163560f42ffce
0,2023/04/12 05:21:55,udp,0.0.0.0,62586,,0,0,0,0, ,11884,Spotify.exe,bcb675a949729390944c6beff383dea5f6b0eb95,cc089d54cad3a584501f6c9834afcb18f60dc500
0,2023/04/12 05:21:55,udp,0.0.0.0,50408,,0,0,0,0, ,11884,Spotify.exe,042f2ebb6776b06c774cb83a528b04dba889e41f,ce2dda50ab4dc17f4a349deb3e626553a28b1591
0,2023/04/12 05:21:55,udp,0.0.0.0,51099,,0,0,0,0, ,11884,Spotify.exe,74522968e2cbf91adb08e3bd7e3be99bcd7d45b7,babb260a9bc39e7d77c73bb8d6541869bdc495c5
0,2023/04/12 05:21:56,udp,0.0.0.0,52178,,0,0,0,0, ,11884,Spotify.exe,21544c1d7190c8752e4a7085c59be37b5c278cdc,d78708265def12f43f891a12383828bef1acdef1
