scan_id,iface,type,gateway,dhcp,metric,checksum,item_id
0,Local Area Connection* 10,ipv4, ,enabled,0,2c441fe059f5825ca7a58e4aaed49a7764b378cb,1b9d03bb9782bccba120e17e9e8d750278fdffa6
0,Local Area Connection* 1,ipv4, ,enabled,0,88dda31a18bf9d61ac0c39b426ee7bb7b952d369,58e67ac398f0e6cbf22bd25c6e101a64ad96117b
0,Bluetooth Network Connection,ipv4, ,enabled,0,eca99cc2042290ecdde14ff109d7a30b2781b16f,a78ce925c76809f2b60787548b7159f5c9935064
0,Loopback Pseudo-Interface 1,ipv4, ,disabled,0,c8e2003d6e3992ca9900667faa094ae195fbb98f,e6db7b9f540419ba6258e01fbadd8336d35c8c0a
0,Wi-Fi,ipv4,"fe80::c6e9:aff:fefd:f00a,192.168.0.1",enabled,0,b098a91ba8960e51f90a817bcda64f4ddb291800,503edc4f0c8e50bd6d1af82566725214fdc0e8ae
