scan_id,scan_time,protocol,local_ip,local_port,remote_ip,remote_port,tx_queue,rx_queue,inode,state,PID,process,checksum,item_id
0,2023/04/12 05:59:57,tcp,0.0.0.0,49667,0.0.0.0,0,0,0,0,listening,2976,svchost.exe,7319fcd8d2196452fc05b531aff9219cff0e23a6,00c24610f9dfd4c9a59511c25aa6a36b5b55f375
0,2023/04/12 05:59:57,tcp6,::,135,::,0,0,0,0,listening,1284,svchost.exe,851a26c3965f2758b2ae1b31aed9de18bd8afdc3,094b9de99b561a8a9c435f641787b26db0fa5f98
0,2023/04/12 05:59:58,udp,0.0.0.0,4500,,0,0,0,0, ,4444,svchost.exe,7d116e96113c7998215de0410fc41462b7ae9d80,0e04466f6a2366ba3b04f3963d6e9ea900cb68b3
0,2023/04/12 05:59:58,tcp,0.0.0.0,445,0.0.0.0,0,0,0,0,listening,4,System,481fa26d857363b78f4f3f586816a2bca324560a,120ef3368b130c7432e4ee29d7ae502fb6767d10
0,2023/04/12 05:59:58,udp6,::1,63205,,0,0,0,0, ,9592,svchost.exe,763d5bd588cd2e9506a791d849d4f0fc62675463,12a3c4550e3621262e62e996f813f0a22d23b538
0,2023/04/12 05:59:58,udp,192.168.100.14,137,,0,0,0,0, ,4,System,ac972ff657e04a055b3b714c29ad1ae0b38d0b6e,12a7cc92739ae8abee288be296e12abb822b7e94
0,2023/04/12 05:59:58,tcp,0.0.0.0,49666,0.0.0.0,0,0,0,0,listening,2252,svchost.exe,d75679cb5ed7d363b0d404a36bec8e2d643af826,13b5ba4bdc3830ce3bcc339c6d425342dfae1697
0,2023/04/12 05:59:58,udp6,fe80::0b0d:c80d:36b2:fdf4,1900,,0,0,0,0, ,9592,svchost.exe,839d4a25e1c42fd5698b8da5eb742efac028af62,16dc29597874be8a6408cb227b3f3fa8aa616fb0
0,2023/04/12 05:59:58,udp6,::1,1900,,0,0,0,0, ,9592,svchost.exe,6a1f2f5c6d3fcf050afeede215782d679f017081,1929fb77051b0a4df82fbcbbf425c0dcfdd4e52f
0,2023/04/12 05:59:58,udp,127.0.0.1,63207,,0,0,0,0, ,9592,svchost.exe,8e6c46b7f826d6870e731ea5b7ccc6cd4d40170a,1a5c5a77409dad4d80316dbda684458688c3b0af
0,2023/04/12 05:59:59,udp,192.168.100.14,1900,,0,0,0,0, ,9592,svchost.exe,af657e97851f069e0aa59076ad555cab010288b7,1da3a2b6d8b53ffc00c52330cf9608e522de085c
