scan_id,scan_time,hotfix,checksum
0,2023/04/12 05:59:57,KB2468871,8f99821b9e79bc2258cb56cd14cfcaf9bbeda8e5
0,2023/04/12 05:59:57,KB2478063,8511235ae3ab3b642d8ba429599092634fdde3a8
0,2023/04/12 05:59:58,KB2533523,b8c4cb9a2aeb6a64269e88f6116765420a65cd80
0,2023/04/12 05:59:58,KB2544514,8e468309f00c0f31b8a0f12a6a79d2658652e9e9
0,2023/04/12 05:59:58,KB2600211,cb13c01ba11045aabbb074fc3e61b0a3b2d88dd4
0,2023/04/12 05:59:58,KB2600217,8253af775746f8545784d27edb852281c9a06955
0,2023/04/12 05:59:58,KB5004342,e4b96a5b2a9f8558ca437605b3178c76a03cd9ba
0,2023/04/12 05:59:58,KB5008295,1eb10c8159211f23d8713aec6325b03621bf2275
0,2023/04/12 05:59:58,KB5012170,d9e49825d14b5bbbf4b4aa4c499ae7f8121389a3
0,2023/04/12 05:59:58,KB5022505,beee18551ff291050eedc0d67c0a4258b36c0e79
0,2023/04/12 05:59:58,KB5023774,5dd14b0a116c823defbe4d9681acb0a4b6e0c84f
0,2023/04/12 05:59:59,KB5023795,2632f0e5de8f07fa499219062e48c3a280f184d7
