component,last_attempt,last_completion,n_attempts,n_completions,last_manager_checksum,last_agent_checksum
fim,0,0,0,0,,
fim_file,1681277144,1681277144,3,2,805a9918716a40094815dd8ff6d79eea7238e18c,805a9918716a40094815dd8ff6d79eea7238e18c
fim_registry,1681277144,0,3,0,,6803f598742eb703afe7849dc5b623038a373ec8
syscollector-processes,1681273899,0,2,0,,d60abce652b656160c6393e9865e94a7b5ede06c
syscollector-packages,1681273899,1681273899,2,1,63ce5400b73e638e0ffe567aec5cd74a863a2278,63ce5400b73e638e0ffe567aec5cd74a863a2278
syscollector-hotfixes,1681273899,1681273899,2,1,1059888e7a4cf769fa8e8922e4348b344246c579,1059888e7a4cf769fa8e8922e4348b344246c579
syscollector-ports,1681273899,0,2,0,,7a1b6c3f10790c111cbdf3d5528db45ae28bba06
syscollector-netproto,1681273899,1681273899,2,1,a2e30abccc5fcf02e06e831376009d48fdaec455,a2e30abccc5fcf02e06e831376009d48fdaec455
syscollector-netaddress,1681273899,1681273899,2,1,179a15d769d06ac4d272c31488d3d1f7e8670dca,179a15d769d06ac4d272c31488d3d1f7e8670dca
syscollector-netinfo,1681273899,0,2,0,,4b5803c6f306aea6eb40f9244a1251910de11d44
syscollector-hwinfo,1681273898,0,2,0,,6906937898a9955eb8d5774bef4d0440683b985e
syscollector-osinfo,1681273898,0,2,0,,bd0709072f2ca5f2aa82dcb7293db13dcaae5d48
