scan_id,scan_time,protocol,local_ip,local_port,remote_ip,remote_port,tx_queue,rx_queue,inode,state,PID,process,checksum,item_id
0,2023/04/12 05:39:09,tcp,0.0.0.0,49667,0.0.0.0,0,0,0,0,listening,2464,svchost.exe,9adc6360414c1b8839d52e6a908efa2c898c0f39,00c24610f9dfd4c9a59511c25aa6a36b5b55f375
0,2023/04/12 05:39:09,udp,0.0.0.0,61396,,0,0,0,0, ,13440,chrome.exe,4a1235a476e18786e0c17005424cf97e855596de,0124117074a580af97eabf245d1c39d64af60453
0,2023/04/12 05:39:09,udp,0.0.0.0,57368,,0,0,0,0, ,3452,spoolsv.exe,d0d3e4b727d22dfef1f454739b396c607fa96297,03d4af19d41e41c27336442835933c6eec8deb21
0,2023/04/12 05:39:09,tcp6,::,135,::,0,0,0,0,listening,1148,svchost.exe,697f41e5c3c0f08e89fe7a4923312098643d0643,094b9de99b561a8a9c435f641787b26db0fa5f98
0,2023/04/12 05:39:09,udp,0.0.0.0,54780,,0,0,0,0, ,13440,chrome.exe,d1a1c02b00412e46ac85c214fc7f089d27914a51,0ab68f5fbd49bceb5795f76911c31f69355e9b3f
0,2023/04/12 05:39:09,udp6,::,51579,,0,0,0,0, ,5268,dasHost.exe,3966aa9192a99146899531afb921394bca9f6c4b,11756ee1af23272cf7adb1eb7cbbc9f88427894e
0,2023/04/12 05:39:09,tcp,0.0.0.0,445,0.0.0.0,0,0,0,0,listening,4,System,481fa26d857363b78f4f3f586816a2bca324560a,120ef3368b130c7432e4ee29d7ae502fb6767d10
0,2023/04/12 05:39:09,tcp,0.0.0.0,49666,0.0.0.0,0,0,0,0,listening,1484,svchost.exe,aff59aedbe798f8294e2769623e25b7f8d26393a,13b5ba4bdc3830ce3bcc339c6d425342dfae1697
0,2023/04/12 05:39:10,udp6,::1,1900,,0,0,0,0, ,4456,svchost.exe,3e523a424a8e9861c69f138236a2f38d267368e5,1929fb77051b0a4df82fbcbbf425c0dcfdd4e52f
0,2023/04/12 05:39:10,udp6,::,5355,,0,0,0,0, ,2456,svchost.exe,ef52c192141d46d3a479922d0742f06e9e2b6820,213612efe23c016cfb5385649212cda824f1dfde
0,2023/04/12 05:39:10,udp6,fe80::d56e:4eba:128b:fdf0,1900,,0,0,0,0, ,4456,svchost.exe,0036d553d2fad04e14433a83898b91f2f02e3435,23e0ab9d7d8ff59b767db52b21c159f5e99339f8
0,2023/04/12 05:39:10,udp,127.0.0.1,65385,,0,0,0,0, ,4456,svchost.exe,4a8ac1687655145a4eabe2b192cfa8a1cb261a54,26039a51ea4dd382cd325924df1b5289a239ec1d
0,2023/04/12 05:39:10,tcp,127.0.0.1,49781,0.0.0.0,0,0,0,0,listening,3184,SocketHeciServer.exe,6eb2b0d946ec57996f3c471847c7bbfa889c465e,270ca8f8a2e388ca7df27bbc87c1d4920892e1f4
0,2023/04/12 05:39:10,udp,192.168.140.3,50043,,0,0,0,0, ,13440,chrome.exe,a3ae8ae85fe53d700f476f2034b6bf736f622325,28bf5b6f415b7af73658c5de3752e51cf94894aa
0,2023/04/12 05:39:10,tcp,0.0.0.0,7070,0.0.0.0,0,0,0,0,listening,3784,AnyDesk.exe,2fa26ad64ed7ac5d666f965d90d5848186b4f6be,294c6cecc27365b831e43732860c1faf399a260a
0,2023/04/12 05:39:10,tcp,0.0.0.0,49668,0.0.0.0,0,0,0,0,listening,3452,spoolsv.exe,6fc4aaf6d381f71032e094a01d88a676c37bf6d0,2c924802fe5c2d1fba335438ef81ba293d6c5e12
0,2023/04/12 05:39:10,udp6,::,62809,,0,0,0,0, ,2456,svchost.exe,f12716271d10e4a56811cb7d6109f3fc2214b90e,2d77e9c218771b615904fc938bfe3dc9c7d8d88f
0,2023/04/12 05:39:11,udp,127.0.0.1,1900,,0,0,0,0, ,4456,svchost.exe,f6442cf3c9979acc107a7359c079c44f766e6a8f,3163f1dc5b5c7abc5d2b3eb0f228d8858603fe4e
0,2023/04/12 05:39:11,udp,0.0.0.0,123,,0,0,0,0, ,1568,svchost.exe,d4f86f4d5fa80dad5cf050e6fd9d944348ce9aba,3e4c00e16eb3e2a78ad48cb09dcde7a8c0d6b083
0,2023/04/12 05:39:11,udp,0.0.0.0,3702,,0,0,0,0, ,5268,dasHost.exe,a2a1a1dfdc5d3e172c3605515be22553533a0bc1,4efe5f5f47d6b866ae0e152b877062fb945e7b2b
0,2023/04/12 05:39:11,tcp6,::,49671,::,0,0,0,0,listening,944,services.exe,8cb809e9c46b3587d179e01380ff470b515079f4,4f9d7beda07a3f9b59c2ffad967ecbdb06f290ac
0,2023/04/12 05:39:11,tcp,0.0.0.0,49665,0.0.0.0,0,0,0,0,listening,864,wininit.exe,6178c515eb87a6b50cbbbd57ce4250fdee96c153,5062fd9d3e87cbe747bd2510b66b127ddf2c8bac
0,2023/04/12 05:39:11,tcp6,::,49665,::,0,0,0,0,listening,864,wininit.exe,7715e4bb9beb31c92efe5fc90a85ce982d7a0494,50f1542c0b047f03949edf289ec9c8377c2b4ad2
0,2023/04/12 05:39:11,udp6,fe80::d56e:4eba:128b:fdf0,65382,,0,0,0,0, ,4456,svchost.exe,fbe8134b50947faf3f27a55974869a2c85d54267,512063487daafec62af643944b6b2581c08662bb
0,2023/04/12 05:39:11,udp,0.0.0.0,53052,,0,0,0,0, ,13440,chrome.exe,9aefaa128fe21dffd154211f3697383f0559b937,5469a02a3aff9631513a174d39c59cf0e9b6466a
0,2023/04/12 05:39:11,udp,192.168.140.3,138,,0,0,0,0, ,4,System,c0f3a5a59eeda7bc6366b32da3ec07af92d7449f,5a27d4415b859e93d6214f21b08bbdcc27e3cb94
0,2023/04/12 05:39:12,udp,0.0.0.0,57968,,0,0,0,0, ,13440,chrome.exe,24bdfc2e84e0d6adc4bdb6329eaf73d9c25801ce,5c128e5b0fd89ed0f6d670cc2376b918d80362c3
0,2023/04/12 05:39:12,udp,192.168.140.3,57996,,0,0,0,0, ,13440,chrome.exe,5a1027436af5c9c77b67627260390c6092a8f437,5d2b2467c207e6fc0f0b1917259763139a66b0d2
0,2023/04/12 05:39:12,udp,0.0.0.0,62294,,0,0,0,0, ,13440,chrome.exe,835bb19037672796c99397fe6f8c5c37bb00a4f1,5ddb168a8f958b75d8d6d61b49040598228f292f
0,2023/04/12 05:39:12,udp,192.168.140.3,58996,,0,0,0,0, ,13440,chrome.exe,e342e671b50fc3648bb1ec69bfdb89b76696fc33,64aa50fd8fdf550477aaf9a82d71129ef858dea7
0,2023/04/12 05:39:12,udp,0.0.0.0,57327,,0,0,0,0, ,2412,msedgewebview2.exe,573f6077b02e545bc53bbdf55b3a5b6fb3bd5f01,6c6327864a1c5805a68ad12902a6e2eea4476510
0,2023/04/12 05:39:12,tcp6,::,7680,::,0,0,0,0,listening,5708,svchost.exe,945471d577dd8739806805810e98495a813df14d,6d994dd9fb0f83c007fdf80196a2a0780b5967b4
0,2023/04/12 05:39:12,udp6,::,123,,0,0,0,0, ,1568,svchost.exe,8d741ad4cb5e21f72d4d39699f0daf6803fbb0a1,6e540fce167a27ae5c3ab48a411dbfcf48b55a7a
0,2023/04/12 05:39:12,udp,192.168.140.3,59941,,0,0,0,0, ,13440,chrome.exe,2f3fd9c77e76697747d1a711a30bb5f9d153c98b,6eb980eb59fb9d44399b0a9789b40ac6f2cfda1c
0,2023/04/12 05:39:12,udp,0.0.0.0,51578,,0,0,0,0, ,5268,dasHost.exe,03063143132e58d3ef9177f9cff5ab29dbc6b15e,752da67f3a30418b3c67ca48cac3d530b1f1a6e9
0,2023/04/12 05:39:12,udp6,fe80::d56e:4eba:128b:fdf0,2177,,0,0,0,0, ,11452,svchost.exe,3ed2359649072494a5bfee488bd7c657e0169588,7626a527aeea7ccec6f0f8479bd44ba89ec19c1a
0,2023/04/12 05:39:13,tcp6,::,49664,::,0,0,0,0,listening,968,lsass.exe,ed337e1d70b7032d383e1d6d2c5e52549c3224ef,780444cdd6b94639213b829135e8ab7bcf999161
0,2023/04/12 05:39:13,tcp6,::,49666,::,0,0,0,0,listening,1484,svchost.exe,9ced9c0872a702f6bef131941f108bbdfd8213a1,796c943d7b9e29e42293e5431fcf6356a43b657e
0,2023/04/12 05:39:13,tcp,0.0.0.0,49664,0.0.0.0,0,0,0,0,listening,968,lsass.exe,8b23ec19717fe0818376971b730749b14bd69f91,7baa138dcdadcced88c737cb9e9e4076f5ac2f23
0,2023/04/12 05:39:13,udp,0.0.0.0,53328,,0,0,0,0, ,13440,chrome.exe,173d597f2d0edff6680b9d5e91a49ba63655f30b,7d5a3c7bf1025c1485f816147d6d797826172749
0,2023/04/12 05:39:13,udp,192.168.140.3,54030,,0,0,0,0, ,13440,chrome.exe,e83447946439ae20b507172031161a9d004fdf9e,7d75d600a601459b0e35a2ae8cbb5bfff3c5ca34
0,2023/04/12 05:39:13,udp,0.0.0.0,50001,,0,0,0,0, ,3784,AnyDesk.exe,acc9968710fd4212e0d63192b8b4a822e148dcb6,83055bbc15f6256afb27a98db5908a6360e1916b
0,2023/04/12 05:39:13,tcp,0.0.0.0,49671,0.0.0.0,0,0,0,0,listening,944,services.exe,0947aa16c6694cafbc081da143a153a82fa280ac,813f0fc561de5dc3aef8be4de1c87e93e1365253
0,2023/04/12 05:39:13,udp,0.0.0.0,62809,,0,0,0,0, ,2456,svchost.exe,60c72baf4fcea2491740077f34f3a30a1d080add,8b6b64db9359402f7803ec256b8df92a79dd2a21
0,2023/04/12 05:39:13,udp,192.168.140.3,54641,,0,0,0,0, ,13440,chrome.exe,21e5966bf795cae0c1faf1ee4cf085b660869451,94f2665028c76adf81da5ae9f5da155f291cee5f
0,2023/04/12 05:39:14,udp,192.168.140.3,54260,,0,0,0,0, ,13440,chrome.exe,de9383a660f7648e426fe69461926138f4e88cdd,9782494ecef897475c5bfd92da291a20cf8650fc
0,2023/04/12 05:39:14,tcp,192.168.140.3,139,0.0.0.0,0,0,0,0,listening,4,System,73d44b52c85c19dc73881963b16a321e9c06e694,a1b028695d4068d0a5ff60168aced7c68d6804f1
0,2023/04/12 05:39:14,udp6,::,3702,,0,0,0,0, ,5268,dasHost.exe,6c83c82d5338b7914b7b2d90b6633a897c752ed5,aef365124170c4690192d51067cee466689a4f65
0,2023/04/12 05:39:14,tcp,0.0.0.0,5040,0.0.0.0,0,0,0,0,listening,2132,svchost.exe,c8e47f26bff4d4c7a9ec63f8c4bf846d76317cf8,b032c5b23c2f83786e4eb05106df3df23add9967
0,2023/04/12 05:39:14,udp,192.168.140.3,2177,,0,0,0,0, ,11452,svchost.exe,b4ae3f8720170cc47232a9349805c766e1cfeead,b1c25b036ec39053699ed99d5e29cf06566826f2
0,2023/04/12 05:39:14,udp,127.0.0.1,49664,,0,0,0,0, ,3960,svchost.exe,2c689c4312a7a1d9119b2b3924aa3143d86f0c20,b384495ff99e639d955f5f943473ee367515d4e2
0,2023/04/12 05:39:14,udp,192.168.140.3,1900,,0,0,0,0, ,4456,svchost.exe,575864b3c66f74f00e818a7828c600c8976b66e6,b3160e00b42e2421e72e0de72d21dfb4e99a59b5
0,2023/04/12 05:39:14,udp,0.0.0.0,5353,,0,0,0,0, ,13440,chrome.exe,025d3579255a6226395b4ca8aba544af11eb607c,b70a80e0df152a12d79120be4f423979596dbaab
0,2023/04/12 05:39:14,tcp6,::,49667,::,0,0,0,0,listening,2464,svchost.exe,78b481abda805c9755b897c2441090460945fb4b,b82989e87ae17e9d01b93089a6b66fa3fed27217
0,2023/04/12 05:39:15,udp,0.0.0.0,5355,,0,0,0,0, ,2456,svchost.exe,2740611e6d03e8a26450400288f0309b050d5f05,b8ff43e517b056a49ba615dc7ae93f911b4df34f
0,2023/04/12 05:39:15,tcp,0.0.0.0,135,0.0.0.0,0,0,0,0,listening,1148,svchost.exe,9a2557539ed13a90b3a0556a571571f8f866f12b,bbbbf17f188ec1927cd6da2bcdd41506ae3f829e
0,2023/04/12 05:39:15,udp,0.0.0.0,5050,,0,0,0,0, ,2132,svchost.exe,18614b6ed063a9ba38311d77abf66abe1684c307,c3fa690a1ece1c651eddea7dfdd75606b5d7479e
0,2023/04/12 05:39:15,udp,0.0.0.0,64458,,0,0,0,0, ,13440,chrome.exe,fd8df982721fbdf897e2dfe9e95d90dce1c47e55,c4c265a42108d4e2c8b0871ec8599712397ba65b
0,2023/04/12 05:39:15,tcp6,::,445,::,0,0,0,0,listening,4,System,effa4fd964755442c367e0912108801fb70d253d,cf372ca01c25d7a8fe58b1d9d104771364e3d281
0,2023/04/12 05:39:15,udp6,::1,65383,,0,0,0,0, ,4456,svchost.exe,426499ae516fe8102adb63dc2cbff847a1c3b4d4,cff1aad7620855805749a8e462490151e06de576
0,2023/04/12 05:39:15,udp,0.0.0.0,65532,,0,0,0,0, ,13440,chrome.exe,fc342fe916aea6748fac622fef398d076c55a1f1,d6cab87f35ff40331c8725816dd25d34bd404fd0
0,2023/04/12 05:39:15,tcp6,::,49668,::,0,0,0,0,listening,3452,spoolsv.exe,872b8526c46c2fcf7ac7e85b911864100cad2f6c,d4fbf314eb1655430cd73c226c6284bfa5d0fb95
0,2023/04/12 05:39:15,tcp6,::1,49669,::,0,0,0,0,listening,4612,jhi_service.exe,ab1bbecfbc97a43dd20f2703a2698827e8f008ad,d8ed9a2491e5881371c2d2836f1b943c352e6cd6
0,2023/04/12 05:39:16,udp,0.0.0.0,54337,,0,0,0,0, ,13440,chrome.exe,f2969baf087d585b065da18495b8fd62641e40e4,e3718a3254ba211bc6f927ab04ce9cac96e33105
0,2023/04/12 05:39:16,udp,192.168.140.3,60468,,0,0,0,0, ,13440,chrome.exe,9d35bea37f37e11c660a8f6971dfae2d8fd995aa,e2ef561dd83542a3a3abf88e88432855e32337ce
