scan_id,scan_time,format,name,priority,section,size,vendor,install_time,version,architecture,multiarch,source,description,location,triaged,cpe,msu_name,checksum,item_id
0,2023/04/12 03:54:42,win,AnyDesk,,,0,philandro Software GmbH,,ad 7.0.14,i686,,,,"""C:\Program Files (x86)\AnyDesk""",0,,,c5615bbee74b4972206a9bd6f7156e9827a25e3c,00fbe4f0ffc36881f9c95e51bb9823a6121d02b1
0,2023/04/12 03:54:42,win,Microsoft Edge WebView2 Runtime,,,0,Microsoft Corporation,20230412,112.0.1722.34,i686,,,,C:\Program Files (x86)\Microsoft\EdgeWebView\Application,0,,,62de67a8faa4e74b24ce9bac33b85768d9bce478,12abb6bfea83094b0facd36434e7aab40f5c58be
0,2023/04/12 03:54:42,win,Microsoft Update Health Tools,,,0,Microsoft Corporation,20230405,5.69.0.0,x86_64,,,,,0,,,57b2ea0091fa7f4af93f7f6918c5d7eea048ff9f,16930fd77564a442beb7404c302d16e0536aa739
0,2023/04/12 03:54:43,win,Office 16 Click-to-Run Localization Component,,,0,Microsoft Corporation,20210705,16.0.14131.20278,x86_64,,,,,0,,,ef2147e0b75cb840cfa3f545399149ed2a212639,1ab7bb46d317d0d25909c9235883a1567856e6d4
0,2023/04/12 03:54:43,win,Microsoft 365 - en-us,,,0,Microsoft Corporation,,16.0.16130.20306,x86_64,,,,C:\Program Files\Microsoft Office,0,,,7cf1afaba8b5f9e0c974516ceb5bd9d5aea786d1,1e6959a4b3a6cc423ff90eddaae36bc5730660d0
0,2023/04/12 03:54:43,win,Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.14.26405,,,0,Microsoft Corporation,20191015,14.14.26405,x86_64,,,,,0,,,434daf1b9d9cc762a814f06ec1baf30ba2d39a6d,21df302ea9bc4b65cee4db7b5be7acbb9640a0e0
0,2023/04/12 03:54:43,win,WebAdvisor by McAfee,,,0,"McAfee, LLC",,4.1.1.810,i686,,,,C:\Program Files\McAfee\WebAdvisor,0,,,fbc444b64c41e6d06c74210fc2819ef18695717a,29a19270a77c194e3186a3a60410feac810402cc
0,2023/04/12 03:54:43,win,Intel® PROSet/Wireless Software,,,0,Intel Corporation,,21.0.0.0u,i686,,,,,0,,,e5581b696a62815ca20f15ba85eaad9a0f22d006,2b2b918274edb056900d9db5754e9a53d1903549
0,2023/04/12 03:54:43,win,Wazuh Agent,,,0,"Wazuh, Inc.",20230405,4.3.10,i686,,,,,0,,,59c93ae4ff1f6cd92990ccb4b55cd533bbceda81,346c7a0f5278b7d581cf90c7eac127d2231e59f6
0,2023/04/12 03:54:43,win,Windows 11 Installation Assistant,,,0,Microsoft Corporation,,1.4.19041.2063,i686,,,,,0,,,4eae61176d42ee949e0c7f1185e07f719b0f2abc,598d711dea47e37891a81724d83ccdc7289a32bd
0,2023/04/12 03:54:43,win,McAfee LiveSafe  ,,,0,"McAfee, LLC",,16.0 R39,i686,,,,C:\Program Files\McAfee,0,,,911eb586d13e7689cabbec6f51d0e30795c250c7,6257998b7ed697ca9f71f91c2e65be3973165340
0,2023/04/12 03:54:43,win,Office 16 Click-to-Run Licensing Component,,,0,Microsoft Corporation,20230314,16.0.16130.20218,x86_64,,,,,0,,,7004468ddeac874085fc917bd4a17940720dd7ef,85dcad001a69b91478baf363b2a0854dd14a5d8a
0,2023/04/12 03:54:44,win,Google Credential Provider for Windows,,,0,Google LLC,20210506,68.73.16512,x86_64,,,,,0,,,e1adc54475ae75bdfbbea08c6c8f22eb35cec6ea,8aafd7ac473ca8e7131a9f10b6027529a9efe1e7
0,2023/04/12 03:54:44,win,Intel® PROSet/Wireless WiFi Software,,,0,Intel Corporation,20191015,21.0.0.2990,x86_64,,,,C:\Program Files\Intel,0,,,4d75d27568afa550276e420c0a0400e12cfea37b,92fba60674353b8074189d420209aa07cc1b18af
0,2023/04/12 03:54:44,win,Microsoft Visual C++ 2017 Redistributable (x64) - 14.14.26405,,,0,Microsoft Corporation,,14.14.26405.0,i686,,,,,0,,,7b6c4e854e59e27b510838ed97732bd537a2dd0d,a2c5b98a3a8d377adbdd13aadf69796828d5d076
0,2023/04/12 03:54:44,win,Microsoft Edge Update,,,0,,,1.3.173.55,i686,,,,,0,,,8c5d332b49cd4930959ab198d2b19c01c0332fe3,a608d1efe707eb3e51bbbf671e096e1cd529c055
0,2023/04/12 03:54:44,win,Google Chrome,,,0,Google LLC,20230412,111.0.5563.148,i686,,,,C:\Program Files\Google\Chrome\Application,0,,,caef4f117d0bd862bab0d0cf58e082dbe9ae2161,a7b456a7b075e07db759d15f5b7d8ee1dad302a5
0,2023/04/12 03:54:44,win,ApowerMirror V1.5.9.4,,,0,APOWERSOFT LIMITED,20210812,1.5.9.4,i686,,,,C:\Program Files (x86)\Apowersoft\ApowerMirror\,0,,,ab808e8945e2f45252c6ca5337e493d0798c9ae9,c0a1a751c1ff75926581de01d5da6e0ff5d9f1fc
0,2023/04/12 03:54:44,win,Microsoft Visual C++ 2017 x64 Additional Runtime - 14.14.26405,,,0,Microsoft Corporation,20191015,14.14.26405,x86_64,,,,,0,,,06bcce261e13c1bd624b73becfd0b5969d8f3b4c,c2d7176ed92adbf78f6c74dfa2cd2e4eedb352c6
0,2023/04/12 03:54:44,win,AudioWizard,,,0,ICEpower a/s,20191015,1.0.17.7,i686,,,,C:\Program Files (x86)\ICEpower\AudioWizard\,0,,,f63e44e2f4764a20d133b7e9b3191956adb64bac,d79fa0d73ac61ab4c3f299e2cf825ced32e27902
0,2023/04/12 03:54:44,win,Office 16 Click-to-Run Extensibility Component,,,0,Microsoft Corporation,20230314,16.0.16130.20218,x86_64,,,,,0,,,95a00686e37ab12ef3578215dbacb3933e2d4d9e,e63c250dec17c4fae56e2e5abded3bbf619f57c6
0,2023/04/12 03:54:45,win,Windows PC Health Check,,,0,Microsoft Corporation,20220504,3.6.2204.08001,x86_64,,,,,0,,,8edd0f695e960804595f59f26c928840c4d3c7e8,e8e0c1b1be44dfc85317a2f9470b3cc90652147f
0,2023/04/12 03:54:45,win,Microsoft Edge,,,0,Microsoft Corporation,20230412,112.0.1722.34,i686,,,,C:\Program Files (x86)\Microsoft\Edge\Application,0,,,530e19771a86512e5d20fbbbabe1adb2f835e417,e90b120a5d453f938f84185312de024e820d0c29
0,2023/04/12 03:54:45,win,Bonjour,,,0,Apple Inc.,20210812,3.1.0.1,x86_64,,,,C:\Program Files (x86)\Bonjour\,0,,,86e230f1c9de0f84f78fde03177124eab3604f7e,f7630faf8e50c7c5b5f414cb1bbcc1d71a257106
0,2023/04/12 04:22:53,win,Microsoft OneDrive,,,0,Microsoft Corporation,,23.054.0313.0001, ,,,,,0,,,f0e1d2fb615c0a2a5a6ef1a287045d9bdb8417ff,62a2d7a57d522d1f57b32b89fe51433f6b04aa35
