component,last_attempt,last_completion,n_attempts,n_completions,last_manager_checksum,last_agent_checksum
fim,0,0,0,0,,
fim_file,1681279112,1681279112,34,33,79e1271f7bc121de092e109ff1a3f2e2b3e8943d,79e1271f7bc121de092e109ff1a3f2e2b3e8943d
fim_registry,0,0,0,0,,
syscollector-processes,1681276144,0,3,0,,e96ff576a49648ee34067e370811511aa2a54c35
syscollector-packages,1681276144,1681276144,3,2,319afa355c56130a54484ceb3b33b21e32c5c900,319afa355c56130a54484ceb3b33b21e32c5c900
syscollector-hotfixes,0,0,0,0,,
syscollector-ports,1681276144,1681276144,3,1,54ecdd418e4f4f229a4c05c45ec43c55cf22823d,54ecdd418e4f4f229a4c05c45ec43c55cf22823d
syscollector-netproto,1681276144,1681276144,3,2,ec0a453e7ffc5869319f62085b0583d174c15cb2,ec0a453e7ffc5869319f62085b0583d174c15cb2
syscollector-netaddress,1681276144,1681276144,3,2,0772b5d7d81f51028843b08d0c1b524800ee0d86,0772b5d7d81f51028843b08d0c1b524800ee0d86
syscollector-netinfo,1681276144,0,3,0,,495358b9bcb088dbb02ba5aab6951d402578d40c
syscollector-hwinfo,1681276144,0,3,0,,12ca0abc363710f05024cdf8546a6017e636ea42
syscollector-osinfo,1681276144,0,3,0,,7a67181edc8c10673f72a8be5a690971cc9449c9
