scan_id,scan_time,pid,name,state,ppid,utime,stime,cmd,argvs,euser,ruser,suser,egroup,rgroup,sgroup,fgroup,priority,nice,size,vm_size,resident,share,start_time,pgrp,session,nlwp,tgid,tty,processor,checksum
0,2023/04/12 03:09:03,1,s6-svscan,S,0,2,2,s6-svscan,-t0 /var/run/s6/services,root,root,root,root,root,root,root,20,0,51,204,1,0,352489283,1,1,1,1,0,0,d57f8264dfff82f72fa2826e8c8c38a30c0a2ba7
0,2023/04/12 03:09:04,35,s6-supervise,S,1,0,0,s6-supervise,s6-fdholderd,root,root,root,root,root,root,root,20,0,51,204,1,0,352489342,1,1,1,35,0,2,81a5a567b0e9faf45ffe3191a87262a992b890a7
0,2023/04/12 04:09:04,1262,s6-supervise,S,1,0,0,s6-supervise,ossec-logs,root,root,root,root,root,root,root,20,0,51,204,1,0,352491312,1,1,1,1262,0,0,1d5963e5404a652bb14379ae5f43521daaaf066c
0,2023/04/12 04:09:05,1261,s6-supervise,S,1,0,0,s6-supervise,filebeat,root,root,root,root,root,root,root,20,0,51,204,1,0,352491312,1,1,1,1261,0,2,240a416c8952fd4783d7ed02f73c0aa72194eccb
0,2023/04/12 05:09:05,497,wazuh-analysisd,S,1,2296,1173,/var/ossec/bin/wazuh-analysisd,,wazuh,wazuh,wazuh,wazuh,wazuh,wazuh,wazuh,20,0,356322,1425288,16399,158,352490752,496,496,50,497,0,3,71db7b344e78f3fcc82424cd328ca26ccb098d65
0,2023/04/12 05:09:06,507,wazuh-syscheckd,S,1,271,261,/var/ossec/bin/wazuh-syscheckd,,root,root,root,wazuh,wazuh,wazuh,wazuh,30,10,63840,255360,498,0,352490754,506,506,6,507,0,2,aa90a754bfd2ed2b51c0efe5b9e8bb9b912f3999
0,2023/04/12 05:09:06,407,python3,S,1,1624,131,/var/ossec/framework/python/bin/python3,/var/ossec/api/scripts/wazuh-apid.py,wazuh,wazuh,wazuh,wazuh,wazuh,wazuh,wazuh,20,0,168236,672944,24841,794,352490618,406,406,10,407,0,0,9c5178f772b445d983d4f02af5e77c821e12090b
0,2023/04/12 05:09:06,642,wazuh-logcollec,S,1,26,76,/var/ossec/bin/wazuh-logcollector,,root,root,root,wazuh,wazuh,wazuh,wazuh,20,0,116947,467788,323,0,352490960,641,641,8,642,0,2,cab23976243fcfe42050c6093661633df1a86e93
0,2023/04/12 05:09:06,447,wazuh-authd,S,1,533,2050,/var/ossec/bin/wazuh-authd,,root,root,root,wazuh,wazuh,wazuh,wazuh,20,0,78005,312020,391,5,352490644,446,446,5,447,0,3,2a40b99f16481ad515b101c34e90afa274f9c5ac
0,2023/04/12 05:09:06,1265,filebeat,S,1261,194,103,/usr/share/filebeat/bin/filebeat,-e -c /etc/filebeat/filebeat.yml -path.home /usr/share/filebeat -path.config /etc/filebeat -path.data /var/lib/filebeat -path.logs /var/log/filebeat,root,root,root,root,root,root,root,20,0,357985,1431940,4529,1630,352491312,1265,1265,10,1265,0,2,4bd29d2091d512766d093792522d3432d4bc0521
0,2023/04/12 05:09:06,574,wazuh-remoted,S,1,3256,1944,/var/ossec/bin/wazuh-remoted,,wazuh,wazuh,wazuh,wazuh,wazuh,wazuh,wazuh,20,0,293514,1174056,1574,311,352490858,570,570,21,574,0,0,ea3b63c0c12b99cc3cd1d48f465f5a96d149d7ff
0,2023/04/12 05:09:06,1266,tail,S,1262,0,0,tail,-F /var/ossec/logs/ossec.log,root,root,root,root,root,root,root,20,0,638,2552,16,0,352491312,1266,1266,1,1266,0,2,0dacaf35c71aeaded999a620cf2ada68ca31b8db
